23,"メトロさがみ 運休","Limited express 'Metro Sagami' trains are canceled.","メトロさがみ運休","2015-01-29 02:06:19.816032","2015-03-30 05:29:25.352230"
24,"メトロさがみ70号 運休","Limited express train 'Metro Sagami #70' is canceled.","メトロさがみ７０号運休","2015-01-29 02:06:19.959037","2015-03-30 05:31:56.653980"
25,"メトロさがみ80号 運休","Limited express train 'Metro Sagami #80' is canceled.","メトロさがみ８０号運休","2015-01-29 02:06:20.091041","2015-03-30 05:32:10.601510"
26,"メトロホームウエイ 運休","Limited express 'Metro Homeway' trains are canceled.","メトロホームウエイ運休","2015-01-29 02:06:20.211044","2015-03-30 05:29:45.135982"
27,"メトロホームウエイ41号 運休","Limited express train 'Metro Homeway #41' is canceled.","メトロホームウエイ４１号運休","2015-01-29 02:06:20.322048","2015-03-30 05:32:28.556192"
28,"メトロホームウエイ43号 運休","Limited express train 'Metro Homeway #43' is canceled.","メトロホームウエイ４３号運休","2015-01-29 02:06:20.432051","2015-03-30 05:32:41.253674"
29,"メトロホームウエイ71号 運休","Limited express train 'Metro Homeway #71' is canceled.","メトロホームウエイ７１号運休","2015-01-29 02:06:20.553055","2015-03-30 05:32:54.555180"
30,"メトロはこね 運休","Limited express 'Metro Hakone' trains are canceled.","メトロはこね運休","2015-01-29 02:06:20.674058","2015-03-30 05:30:00.670572"
31,"メトロはこね21号 運休","Limited express train 'Metro Hakone #21' is canceled.","メトロはこね２１号運休","2015-01-29 02:06:20.811063","2015-03-30 05:33:16.119999"
32,"メトロはこね22号 運休","Limited express train 'Metro Hakone #22' is canceled.","メトロはこね２２号運休","2015-01-29 02:06:20.938066","2015-03-30 05:33:24.295310"
33,"メトロはこね23号 運休","Limited express train 'Metro Hakone #23' is canceled.","メトロはこね２３号運休","2015-01-29 02:06:21.081071","2015-03-30 05:33:36.160761"
34,"メトロはこね24号 運休","Limited express train 'Metro Hakone #24' is canceled.","メトロはこね２４号運休","2015-01-29 02:06:21.202074","2015-03-30 05:33:46.882168"
35,"臨時特急ロマンスカー 運休","Limited express 'Rommance car' trains are canceled.","臨時特急ロマンスカー運休","2015-01-29 02:06:21.323078","2015-03-30 05:30:20.697333"
36,"臨時列車 運休","Extra trains are canceled.","臨時列車運休","2015-01-29 02:06:21.455082","2015-03-30 05:30:33.415817"
37,"振替輸送 実施中","Substitute service by other railway operators is provided.","振替輸送","2015-01-29 02:06:21.587086","2015-03-30 05:27:37.682139"
38,"バス代行 実施中","Substitute service is provided by buses.","バス代行","2015-01-29 02:06:21.719090","2015-03-30 05:27:34.194007"
39,"リフレッシュ工事 実施中","Scheduled construction","リフレッシュ工事","2015-01-29 02:06:21.879095","2015-03-30 04:42:34.240412"
40,"お知らせ",Information,"お知らせ","2015-01-29 02:06:22.022099","2015-03-30 04:26:35.478981"
