13,odpt.RailwayDirection:TokyoMetro.Tozai.NishiFunabashi,odpt.RailDirection:TokyoMetro.NishiFunabashi,5,92,"2015-01-29 02:16:05.676900","2015-01-29 02:16:05.676900",A
14,odpt.RailwayDirection:TokyoMetro.Tozai.Nakano,odpt.RailDirection:TokyoMetro.Nakano,5,70,"2015-01-29 02:16:06.025911","2015-01-29 02:16:06.025911",B
15,odpt.RailwayDirection:TokyoMetro.Chiyoda.YoyogiUehara,odpt.RailDirection:TokyoMetro.YoyogiUehara,6,93,"2015-01-29 02:16:06.313920","2015-01-29 02:16:06.313920",A
16,odpt.RailwayDirection:TokyoMetro.Chiyoda.Ayase,odpt.RailDirection:TokyoMetro.Ayase,6,111,"2015-01-29 02:16:06.599929","2015-01-29 02:16:06.599929",B
17,odpt.RailwayDirection:TokyoMetro.Chiyoda.KitaAyase,odpt.RailDirection:TokyoMetro.KitaAyase,6,113,"2015-01-29 02:16:06.852936","2015-01-29 02:16:06.852936",A
18,odpt.RailwayDirection:TokyoMetro.ChiyodaBranch.YoyogiUehara,odpt.RailDirection:TokyoMetro.YoyogiUehara,7,93,"2015-01-29 02:16:07.081943","2015-01-29 02:16:07.081943",A
19,odpt.RailwayDirection:TokyoMetro.ChiyodaBranch.Ayase,odpt.RailDirection:TokyoMetro.Ayase,7,112,"2015-01-29 02:16:07.424954","2015-01-29 02:16:07.424954",B
20,odpt.RailwayDirection:TokyoMetro.ChiyodaBranch.KitaAyase,odpt.RailDirection:TokyoMetro.KitaAyase,7,113,"2015-01-29 02:16:07.658961","2015-01-29 02:16:07.658961",A
21,odpt.RailwayDirection:TokyoMetro.Hanzomon.Oshiage,odpt.RailDirection:TokyoMetro.Oshiage,9,151,"2015-01-29 02:16:07.964970","2015-01-29 02:16:07.964970",A
22,odpt.RailwayDirection:TokyoMetro.Hanzomon.Shibuya,odpt.RailDirection:TokyoMetro.Shibuya,9,138,"2015-01-29 02:16:08.266979","2015-01-29 02:16:08.266979",B
23,odpt.RailwayDirection:TokyoMetro.Namboku.AkabaneIwabuchi,odpt.RailDirection:TokyoMetro.AkabaneIwabuchi,10,170,"2015-01-29 02:16:08.494986","2015-01-29 02:16:08.494986",A
24,odpt.RailwayDirection:TokyoMetro.Namboku.Meguro,odpt.RailDirection:TokyoMetro.Meguro,10,152,"2015-01-29 02:16:08.756994","2015-01-29 02:16:08.756994",B
25,odpt.RailwayDirection:Toei.Mita.Meguro,odpt.RailDirection:Toei.Meguro,13,568,"2015-01-29 02:16:09.031003","2015-01-29 02:16:09.031003",B
26,odpt.RailwayDirection:TokyoMetro.Namboku.ShirokaneTakanawa,odpt.RailDirection:TokyoMetro.ShirokaneTakanawa,10,154,"2015-01-29 02:16:09.351012","2015-01-29 02:16:09.351012",A
27,odpt.RailwayDirection:Toei.Mita.ShirokaneTakanawa,odpt.RailDirection:TokyoMetro.ShirokaneTakanawa,13,154,"2015-01-29 02:16:09.574019","2015-01-29 02:16:09.574019",A
28,odpt.RailwayDirection:Toei.Mita.NishiTakashimadaira,odpt.RailDirection:Toei.NishiTakashimadaira,13,594,"2015-01-29 02:16:09.957031","2015-01-29 02:16:09.957031",A
29,odpt.RailwayDirection:TokyoMetro.Yurakucho.Wakoshi,odpt.RailDirection:TokyoMetro.Wakoshi,8,114,"2015-01-29 02:16:10.245040","2015-01-29 02:16:10.245040",B
30,odpt.RailwayDirection:TokyoMetro.Fukutoshin.Wakoshi,odpt.RailDirection:TokyoMetro.Wakoshi,11,171,"2015-01-29 02:16:10.508048","2015-01-29 02:16:10.508048",B
31,odpt.RailwayDirection:TokyoMetro.Yurakucho.KotakeMukaihara,odpt.RailDirection:TokyoMetro.KotakeMukaihara,8,119,"2015-01-29 02:16:10.727054","2015-01-29 02:16:10.727054",B
32,odpt.RailwayDirection:TokyoMetro.Fukutoshin.KotakeMukaihara,odpt.RailDirection:TokyoMetro.KotakeMukaihara,11,176,"2015-01-29 02:16:10.947061","2015-01-29 02:16:10.947061",B
33,odpt.RailwayDirection:TokyoMetro.Yurakucho.Ikebukuro,odpt.RailDirection:TokyoMetro.Ikebukuro,8,122,"2015-01-29 02:16:11.224070","2015-01-29 02:16:11.224070",
34,odpt.RailwayDirection:TokyoMetro.Fukutoshin.Ikebukuro,odpt.RailDirection:TokyoMetro.Ikebukuro,11,179,"2015-01-29 02:16:11.420076","2015-01-29 02:16:11.420076",
35,odpt.RailwayDirection:TokyoMetro.Yurakucho.ShinKiba,odpt.RailDirection:TokyoMetro.ShinKiba,8,137,"2015-01-29 02:16:11.695084","2015-01-29 02:16:11.695084",A
36,odpt.RailwayDirection:TokyoMetro.Fukutoshin.Shibuya,odpt.RailDirection:TokyoMetro.Shibuya,11,186,"2015-01-29 02:16:12.003093","2015-01-29 02:16:12.003093",A
37,odpt.RailwayDirection:Toei.Asakusa.NishiMagome,odpt.RailDirection:Toei.NishiMagome,12,548,"2015-01-29 02:16:12.271102","2015-01-29 02:16:12.271102",
38,odpt.RailwayDirection:Toei.Asakusa.Oshiage,odpt.RailDirection:Toei.Oshiage,12,567,"2015-01-29 02:16:12.513109","2015-01-29 02:16:12.513109",
39,odpt.RailwayDirection:Toei.Shinjuku.Motoyawata,odpt.RailDirection:Toei.Motoyawata,14,615,"2015-01-29 02:16:12.873120","2015-01-29 02:16:12.873120",
40,odpt.RailwayDirection:Toei.Shinjuku.Shinjuku,odpt.RailDirection:Toei.Shinjuku,14,595,"2015-01-29 02:16:13.215130","2015-01-29 02:16:13.215130",
